ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0014BYID4,"Crocs Unisex-Adult Classic Clogs (Best Sellers), Khaki, 4 Men/6 Women",$0.30,$0.76,https://www.amazon.com/dp/B0014BYID4,100,1,Shoes,-459.30%,$-3.51,N/A,N/A,N/A,N/A,N,
B097746CQ2,"Crocs Unisex-Adult Classic Clogs, Khaki, 12 Men/14 Women",$0.41,$0.65,https://www.amazon.com/dp/B097746CQ2,100,1,Shoes,-507.67%,$-3.30,N/A,N/A,N/A,N/A,N,
B09774JQQY,"Crocs Unisex-Adult Classic Clogs, Bijou Blue, 8 Women/6 Men",N/A,$0.58,https://www.amazon.com/dp/B09774JQQY,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B09NM9YNPH,"MedPride Powder-Free Nitrile Exam Gloves, Large, Large (Pack of 100)",$0.12,$0.10,https://www.amazon.com/dp/B09NM9YNPH,100,1,Drugstore,-3033.59%,$-2.99,N/A,N/A,N/A,N/A,N,
B08HSHWG89,"Crocs Men's and Women's Classic Clog (Retired Colors), Lapis, 6 Women/4 Men",$0.50,$0.90,https://www.amazon.com/dp/B08HSHWG89,100,1,Shoes,-386.28%,$-3.47,N/A,N/A,N/A,N/A,Y,
B0014C3W62,"Crocs Men's and Women's Classic Clog (Retired Colors), Grass Green, 8 Women/6 Men",$0.50,$0.50,https://www.amazon.com/dp/B0014C3W62,100,1,Shoes,-615.53%,$-3.07,N/A,N/A,N/A,N/A,N,
B08V6T37X5,"Crocs Men's and Women's Classic Clog (Retired Colors), Bronze, 9 Women/7 Men",$0.50,$0.74,https://www.amazon.com/dp/B08V6T37X5,100,1,Shoes,-447.98%,$-3.32,N/A,N/A,N/A,N/A,N,
B0CNJ6VRN4,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 14 Women/12 Men",$0.33,$0.33,https://www.amazon.com/dp/B0CNJ6VRN4,100,1,Shoes,-919.98%,$-3.05,N/A,N/A,N/A,N/A,N,
B09NMC6KJP,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 18 Women/16 Men",$0.50,$0.50,https://www.amazon.com/dp/B09NMC6KJP,100,1,Shoes,-615.60%,$-3.07,N/A,N/A,N/A,N/A,N,
B0D61HM1D4,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 17 Women/15 Men",$0.37,$0.37,https://www.amazon.com/dp/B0D61HM1D4,100,1,Shoes,-824.28%,$-3.06,N/A,N/A,N/A,N/A,N,
