ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0014C3W62,"Crocs Unisex-Adult Classic Clogs, Khaki, 12 Men/14 Women",$0.41,$0.65,https://www.amazon.com/dp/B0014C3W62,100,1,Shoes,-507.67%,$-3.30,N/A,N/A,N/A,N/A,N,
B09GH8XDNP,"Crocs Unisex Classic Clog Emerald Mens 7, Womens 9 Medium",$0.34,$0.40,https://www.amazon.com/dp/B09GH8XDNP,100,1,Shoes,-778.66%,$-3.11,N/A,N/A,N/A,N/A,N,
B0BSG9KJ7T,"Crocs Unisex-Adult Classic Clogs, Bijou Blue, 8 Women/6 Men",N/A,$0.58,https://www.amazon.com/dp/B0BSG9KJ7T,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,Y,
B0884CDZHF,"MedPride Powder-Free Nitrile Exam Gloves, Large, Large (Pack of 100)",$0.12,$0.10,https://www.amazon.com/dp/B0884CDZHF,100,1,Drugstore,-3032.73%,$-2.99,N/A,N/A,N/A,N/A,Y,
B08HSHWG89,"Crocs Men's and Women's Classic Clog (Retired Colors), Lapis, 6 Women/4 Men",$0.50,$0.90,https://www.amazon.com/dp/B08HSHWG89,100,1,Shoes,-386.28%,$-3.47,N/A,N/A,N/A,N/A,Y,
B0CW7GNQHC,"Crocs Men's and Women's Classic Clog (Retired Colors), Grass Green, 8 Women/6 Men",$0.50,$0.50,https://www.amazon.com/dp/B0CW7GNQHC,100,1,Shoes,-615.12%,$-3.07,N/A,N/A,N/A,N/A,N,
B0DBJDDBNZ,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 14 Women/12 Men",$0.33,$0.33,https://www.amazon.com/dp/B0DBJDDBNZ,100,1,Shoes,-919.98%,$-3.05,N/A,N/A,N/A,N/A,N,
B0DJDLNV31,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 18 Women/16 Men",$0.50,$0.50,https://www.amazon.com/dp/B0DJDLNV31,100,1,Shoes,-615.60%,$-3.07,N/A,N/A,N/A,N/A,N,
B08V6T37X5,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 17 Women/15 Men",$0.37,$0.37,https://www.amazon.com/dp/B08V6T37X5,100,1,Shoes,-824.28%,$-3.06,N/A,N/A,N/A,N/A,N,
B0D9MVMVMH,"Pampers Baby Diapers - Swaddlers - Size 4, 66 Count, Ultra Absorbent Disposable Infant Diaper",$0.28,$0.28,https://www.amazon.com/dp/B0D9MVMVMH,100,1,Drugstore,-1078.08%,$-3.04,N/A,N/A,N/A,N/A,Y,
B09NMC6KJP,"Crocs Unisex-Adult Classic Clogs, Neo Mint, 2 Men/4 Women",$0.50,$0.28,https://www.amazon.com/dp/B09NMC6KJP,100,1,Shoes,-1013.15%,$-2.86,N/A,N/A,N/A,N/A,N,
B0BF8L7JKV,Amazon Basics AAAA 1.5 Volt Everyday Alkaline Batteries,N/A,N/A,https://www.amazon.com/dp/B0BF8L7JKV,100,1,Drugstore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B088433DH4,"Crocs Unisex-Adult Classic Clogs, Lavender, 13 Men/15 Women",$0.31,$0.49,https://www.amazon.com/dp/B088433DH4,100,1,Shoes,-660.06%,$-3.23,N/A,N/A,N/A,N/A,N,
B07TTJJ3Z6,"Crocs Unisex Classic Clog Fresco Men's 13, Women's 15 Medium",$0.37,$0.72,https://www.amazon.com/dp/B07TTJJ3Z6,100,1,Shoes,-474.83%,$-3.40,N/A,N/A,N/A,N/A,N,
B09773TW7Z,"Crocs Classic Clog Mineral Blue Men's 10, Women's 12 Medium",$0.41,$0.76,https://www.amazon.com/dp/B09773TW7Z,100,1,Shoes,-447.09%,$-3.42,N/A,N/A,N/A,N/A,N,
B08847G7RJ,"Crocs Classic Clog Pistachio Men's 12, Women's 14 Medium",$0.50,$0.76,https://www.amazon.com/dp/B08847G7RJ,100,1,Shoes,-437.05%,$-3.34,N/A,N/A,N/A,N/A,N,
B0883X8ZBH,"Crocs Unisex-Adult Classic Clogs, Pistachio, 3 Men/5 Women",$0.35,$0.51,https://www.amazon.com/dp/B0883X8ZBH,100,1,Shoes,-630.86%,$-3.21,N/A,N/A,N/A,N/A,N,
B010PEKG9A,"Crocs Classic Clog Pistachio Men's 7, Women's 9 Medium",$0.50,$0.90,https://www.amazon.com/dp/B010PEKG9A,100,1,Shoes,-386.15%,$-3.47,N/A,N/A,N/A,N/A,N,
