ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0DCV47JXX,"Crocs Unisex-Adult Classic Clogs (Best Sellers), Khaki, 4 Men/6 Women",N/A,N/A,https://www.amazon.com/dp/B0DCV47JXX,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B072Q63YF6,"Crocs Unisex-Adult Classic Clogs, Khaki, 12 Men/14 Women",N/A,N/A,https://www.amazon.com/dp/B072Q63YF6,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B088433DH4,"Crocs Unisex-Adult Classic Clogs, Bijou Blue, 8 Women/6 Men",N/A,N/A,https://www.amazon.com/dp/B088433DH4,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B01LR5SIRI,"Crocs Men's and Women's Classic Clog (Retired Colors), Lapis, 6 Women/4 Men",N/A,N/A,https://www.amazon.com/dp/B01LR5SIRI,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0D4XZY4K6,"Amazon Basics Neoprene Dumbbell Hand Weights, 20 Pounds, Pair, Dark Green",N/A,N/A,https://www.amazon.com/dp/B0D4XZY4K6,N/A,N/A,Sports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0DYP4QKHM,"Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids, Teens, Boys & Girls - Deep Pockets, Ultra-Soft, Wrinkle Free - Oeko-Tex - Burgundy",N/A,N/A,https://www.amazon.com/dp/B0DYP4QKHM,N/A,N/A,Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0F2M83F8H,"Crocs Men's and Women's Classic Clog (Retired Colors), Grass Green, 8 Women/6 Men",N/A,N/A,https://www.amazon.com/dp/B0F2M83F8H,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0DZ67PCQ7,"Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids, Teens, Boys & Girls - Deep Pockets, Soft and Wrinkle Free - Oeko-Tex - Denim Blue",N/A,N/A,https://www.amazon.com/dp/B0DZ67PCQ7,N/A,N/A,Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0DPHKPJHX,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 18 Women/16 Men",N/A,N/A,https://www.amazon.com/dp/B0DPHKPJHX,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
B0F9XX7LYN,"Pampers Baby Diapers - Swaddlers - Size 4, 66 Count, Ultra Absorbent Disposable Infant Diaper",N/A,N/A,https://www.amazon.com/dp/B0F9XX7LYN,N/A,N/A,Drugstore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
